,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
0,1,Sidney Moncrief,25,MIL,14.0,14.0,75,0.187,76,35.7,22.5,5.8,3.9,1.5,0.3,.524,.100,.826,13.2,.233,1983,https://www.basketball-reference.com//players/m/moncrsi01.html,https://www.basketball-reference.com/req/202106291/images/players/moncrsi01.jpg
1,2,Tree Rollins,27,ATL,10.0,10.0,75,0.133,80,30.9,7.8,9.3,0.9,0.6,4.3,.510,.000,.726,7.3,.142,1983,https://www.basketball-reference.com//players/r/rollitr01.html,https://www.basketball-reference.com/req/202106291/images/players/rollitr01.jpg
2,3T,Larry Bird,26,BOS,6.0,6.0,75,0.080,79,37.7,23.6,11.0,5.8,1.9,0.9,.504,.286,.840,14.0,.225,1983,https://www.basketball-reference.com//players/b/birdla01.html,https://www.basketball-reference.com/req/202106291/images/players/birdla01.jpg
3,3T,Maurice Cheeks,26,PHI,6.0,6.0,75,0.080,79,31.2,12.5,2.6,6.9,2.3,0.4,.542,.167,.754,9.4,.183,1983,https://www.basketball-reference.com//players/c/cheekma01.html,https://www.basketball-reference.com/req/202106291/images/players/cheekma01.jpg
4,3T,Michael Cooper,26,LAL,6.0,6.0,75,0.080,82,26.2,7.8,3.3,3.8,1.4,0.6,.535,.238,.785,5.2,.116,1983,https://www.basketball-reference.com//players/c/coopemi01.html,https://www.basketball-reference.com/req/202106291/images/players/coopemi01.jpg
5,3T,Bobby Jones,31,PHI,6.0,6.0,75,0.080,74,23.6,9.0,4.6,1.9,1.1,1.2,.543,.000,.793,6.4,.175,1983,https://www.basketball-reference.com//players/j/jonesbo01.html,https://www.basketball-reference.com/req/202106291/images/players/jonesbo01.jpg
6,1,Sidney Moncrief,26,MIL,19.0,19.0,76,0.250,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,.278,.848,12.7,.198,1984,https://www.basketball-reference.com//players/m/moncrsi01.html,https://www.basketball-reference.com/req/202106291/images/players/moncrsi01.jpg
7,2,Mark Eaton,27,UTA,14.0,14.0,76,0.184,82,26.1,5.6,7.3,1.4,0.3,4.3,.466,.000,.593,3.7,.084,1984,https://www.basketball-reference.com//players/e/eatonma01.html,https://www.basketball-reference.com/req/202106291/images/players/eatonma01.jpg
8,3,Dennis Johnson,29,BOS,7.0,7.0,76,0.092,80,33.3,13.2,3.5,4.2,1.2,0.7,.437,.125,.852,5.7,.102,1984,https://www.basketball-reference.com//players/j/johnsde01.html,https://www.basketball-reference.com/req/202106291/images/players/johnsde01.jpg
9,4T,Maurice Cheeks,27,PHI,5.0,5.0,76,0.066,75,33.3,12.7,2.7,6.4,2.3,0.3,.550,.400,.733,7.3,.141,1984,https://www.basketball-reference.com//players/c/cheekma01.html,https://www.basketball-reference.com/req/202106291/images/players/cheekma01.jpg
10,4T,Michael Cooper,27,LAL,5.0,5.0,76,0.066,82,29.1,9.0,3.2,5.9,1.4,0.8,.497,.314,.838,6.5,.130,1984,https://www.basketball-reference.com//players/c/coopemi01.html,https://www.basketball-reference.com/req/202106291/images/players/coopemi01.jpg
11,4T,Bobby Jones,32,PHI,5.0,5.0,76,0.066,75,23.5,8.3,4.3,2.5,1.4,1.4,.523,.000,.784,6.0,.163,1984,https://www.basketball-reference.com//players/j/jonesbo01.html,https://www.basketball-reference.com/req/202106291/images/players/jonesbo01.jpg
12,7,T.R. Dunn,28,DEN,4.0,4.0,76,0.053,80,33.8,5.7,7.2,2.9,2.2,0.4,.470,.000,.731,4.1,.073,1984,https://www.basketball-reference.com//players/d/dunntr01.html,https://www.basketball-reference.com/req/202106291/images/players/dunntr01.jpg
13,8,Rickey Green,29,UTA,3.0,3.0,76,0.039,81,34.2,13.2,2.8,9.2,2.7,0.2,.486,.118,.821,7.9,.138,1984,https://www.basketball-reference.com//players/g/greenri01.html,https://www.basketball-reference.com/req/202106291/images/players/greenri01.jpg
14,9T,Larry Nance,24,PHO,2.0,2.0,76,0.026,82,35.4,17.7,8.3,2.6,1.0,2.1,.576,.000,.707,9.8,.163,1984,https://www.basketball-reference.com//players/n/nancela01.html,https://www.basketball-reference.com/req/202106291/images/players/nancela01.jpg
15,9T,Calvin Natt,27,POR,2.0,2.0,76,0.026,79,33.4,16.2,6.0,2.3,0.9,0.3,.583,.118,.797,8.4,.154,1984,https://www.basketball-reference.com//players/n/nattca01.html,https://www.basketball-reference.com/req/202106291/images/players/nattca01.jpg
16,9T,Rory Sparrow,25,NYK,2.0,2.0,76,0.026,79,30.8,10.4,2.4,6.8,1.3,0.1,.474,.256,.824,4.2,.083,1984,https://www.basketball-reference.com//players/s/sparrro01.html,https://www.basketball-reference.com/req/202106291/images/players/sparrro01.jpg
17,12T,Larry Bird,27,BOS,1.0,1.0,76,0.013,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215,1984,https://www.basketball-reference.com//players/b/birdla01.html,https://www.basketball-reference.com/req/202106291/images/players/birdla01.jpg
18,12T,Magic Johnson,24,LAL,1.0,1.0,76,0.013,67,38.3,17.6,7.3,13.1,2.2,0.7,.565,.207,.810,10.2,.191,1984,https://www.basketball-reference.com//players/j/johnsma02.html,https://www.basketball-reference.com/req/202106291/images/players/johnsma02.jpg
19,12T,Bill Laimbeer,26,DET,1.0,1.0,76,0.013,82,34.9,17.3,12.2,1.8,0.6,1.0,.530,.000,.866,10.8,.181,1984,https://www.basketball-reference.com//players/l/laimbbi01.html,https://www.basketball-reference.com/req/202106291/images/players/laimbbi01.jpg
20,12T,Moses Malone,28,PHI,1.0,1.0,76,0.013,71,36.8,22.7,13.4,1.4,1.0,1.5,.483,.000,.750,9.5,.175,1984,https://www.basketball-reference.com//players/m/malonmo01.html,https://www.basketball-reference.com/req/202106291/images/players/malonmo01.jpg
21,12T,Tree Rollins,28,ATL,1.0,1.0,76,0.013,77,30.5,8.6,7.7,0.8,0.5,3.6,.518,NO DATA,.621,5.5,.113,1984,https://www.basketball-reference.com//players/r/rollitr01.html,https://www.basketball-reference.com/req/202106291/images/players/rollitr01.jpg
22,12T,Lonnie Shelton,28,CLE,1.0,1.0,76,0.013,79,26.6,10.8,4.8,2.3,1.0,0.7,.476,.200,.764,2.1,.048,1984,https://www.basketball-reference.com//players/s/sheltlo01.html,https://www.basketball-reference.com/req/202106291/images/players/sheltlo01.jpg
23,12T,Mychal Thompson,29,POR,1.0,1.0,76,0.013,79,33.5,15.7,8.7,3.9,1.1,1.4,.524,.000,.667,6.9,.125,1984,https://www.basketball-reference.com//players/t/thompmy01.html,https://www.basketball-reference.com/req/202106291/images/players/thompmy01.jpg
24,12T,Jamaal Wilkes,30,LAL,1.0,1.0,76,0.013,75,33.4,17.3,4.5,2.9,1.0,0.5,.514,.250,.743,6.0,.115,1984,https://www.basketball-reference.com//players/w/wilkeja01.html,https://www.basketball-reference.com/req/202106291/images/players/wilkeja01.jpg
25,1,Mark Eaton,28,UTA,32.0,32.0,78,0.410,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,NO DATA,.712,5.4,.093,1985,https://www.basketball-reference.com//players/e/eatonma01.html,https://www.basketball-reference.com/req/202106291/images/players/eatonma01.jpg
26,2,Sidney Moncrief,27,MIL,13.0,13.0,78,0.167,73,37.5,21.7,5.4,5.2,1.6,0.5,.483,.273,.828,11.2,.197,1985,https://www.basketball-reference.com//players/m/moncrsi01.html,https://www.basketball-reference.com/req/202106291/images/players/moncrsi01.jpg
27,3,Paul Pressey,26,MIL,10.0,10.0,78,0.128,80,36.0,16.1,5.4,6.8,1.6,0.7,.517,.350,.758,9.6,.160,1985,https://www.basketball-reference.com//players/p/presspa01.html,https://www.basketball-reference.com/req/202106291/images/players/presspa01.jpg
28,4,Michael Cooper,28,LAL,9.0,9.0,78,0.115,82,26.7,8.6,3.1,5.2,1.1,0.6,.465,.285,.865,4.6,.102,1985,https://www.basketball-reference.com//players/c/coopemi01.html,https://www.basketball-reference.com/req/202106291/images/players/coopemi01.jpg
29,5,Maurice Cheeks,28,PHI,5.0,5.0,78,0.064,78,33.5,13.1,2.8,6.4,2.2,0.3,.570,.231,.879,9.0,.165,1985,https://www.basketball-reference.com//players/c/cheekma01.html,https://www.basketball-reference.com/req/202106291/images/players/cheekma01.jpg
30,6,Dennis Johnson,30,BOS,3.0,3.0,78,0.038,80,37.2,15.7,4.0,6.8,1.2,0.5,.462,.269,.853,6.4,.103,1985,https://www.basketball-reference.com//players/j/johnsde01.html,https://www.basketball-reference.com/req/202106291/images/players/johnsde01.jpg
31,7T,T.R. Dunn,29,DEN,2.0,2.0,78,0.026,81,28.3,5.4,4.8,1.9,1.7,0.2,.489,.000,.724,4.4,.092,1985,https://www.basketball-reference.com//players/d/dunntr01.html,https://www.basketball-reference.com/req/202106291/images/players/dunntr01.jpg
32,7T,Micheal Ray Richardson,29,NJN,2.0,2.0,78,0.026,82,38.1,20.1,5.6,8.2,3.0,0.3,.469,.252,.767,8.7,.134,1985,https://www.basketball-reference.com//players/r/richami01.html,https://www.basketball-reference.com/req/202106291/images/players/richami01.jpg
33,7T,Danny Vranes,26,SEA,2.0,2.0,78,0.026,76,28.5,5.8,5.7,2.0,1.0,0.8,.463,.250,.528,1.8,.039,1985,https://www.basketball-reference.com//players/v/vraneda01.html,https://www.basketball-reference.com/req/202106291/images/players/vraneda01.jpg
34,1,Alvin Robertson,23,SAS,27.0,27.0,78,0.346,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,1986,https://www.basketball-reference.com//players/r/roberal01.html,https://www.basketball-reference.com/req/202106291/images/players/roberal01.jpg
35,2,Manute Bol,23,WSB,22.0,22.0,78,0.282,80,26.1,3.7,6.0,0.3,0.4,5.0,.460,.000,.488,3.9,.089,1986,https://www.basketball-reference.com//players/b/bolma01.html,https://www.basketball-reference.com/req/202106291/images/players/bolma01.jpg
36,3,Sidney Moncrief,28,MIL,8.0,8.0,78,0.103,73,35.2,20.2,4.6,4.9,1.4,0.2,.489,.320,.859,11.7,.219,1986,https://www.basketball-reference.com//players/m/moncrsi01.html,https://www.basketball-reference.com/req/202106291/images/players/moncrsi01.jpg
