,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
0,1,Bob Pettit,23,STL,33.0,33.0,80,0.413,72,38.8,25.7,16.2,2.6,NO DATA,NO DATA,.429,NO DATA,.736,13.8,.236,1956,https://www.basketball-reference.com//players/p/pettibo01.html,https://www.basketball-reference.com/req/202106291/images/players/pettibo01.jpg
1,2,Paul Arizin,27,PHW,21.0,21.0,80,0.263,72,37.8,24.2,7.5,2.6,NO DATA,NO DATA,.448,NO DATA,.810,12.2,.214,1956,https://www.basketball-reference.com//players/a/arizipa01.html,https://www.basketball-reference.com/req/202106291/images/players/arizipa01.jpg
2,3,Bob Cousy,27,BOS,11.0,11.0,80,0.138,72,38.4,18.8,6.8,8.9,NO DATA,NO DATA,.360,NO DATA,.844,6.8,.119,1956,https://www.basketball-reference.com//players/c/cousybo01.html,https://www.basketball-reference.com/req/202106291/images/players/cousybo01.jpg
3,4,Mel Hutchins,27,FTW,9.0,9.0,80,0.113,66,33.9,12.0,7.5,2.7,NO DATA,NO DATA,.425,NO DATA,.643,4.4,.095,1956,https://www.basketball-reference.com//players/h/hutchme01.html,https://www.basketball-reference.com/req/202106291/images/players/hutchme01.jpg
4,5T,Dolph Schayes,27,SYR,2.0,2.0,80,0.025,72,35.0,20.4,12.4,2.8,NO DATA,NO DATA,.387,NO DATA,.858,11.8,.225,1956,https://www.basketball-reference.com//players/s/schaydo01.html,https://www.basketball-reference.com/req/202106291/images/players/schaydo01.jpg
5,5T,Bill Sharman,29,BOS,2.0,2.0,80,0.025,72,37.5,19.9,3.6,4.7,NO DATA,NO DATA,.438,NO DATA,.867,8.8,.157,1956,https://www.basketball-reference.com//players/s/sharmbi01.html,https://www.basketball-reference.com/req/202106291/images/players/sharmbi01.jpg
6,7T,Tom Gola,23,PHW,1.0,1.0,80,0.013,68,34.5,10.8,9.1,5.9,NO DATA,NO DATA,.412,NO DATA,.733,6.5,.132,1956,https://www.basketball-reference.com//players/g/golato01.html,https://www.basketball-reference.com/req/202106291/images/players/golato01.jpg
7,7T,Maurice Stokes,22,ROC,1.0,1.0,80,0.013,67,34.7,16.8,16.3,4.9,NO DATA,NO DATA,.354,NO DATA,.714,6.0,.125,1956,https://www.basketball-reference.com//players/s/stokema01.html,https://www.basketball-reference.com/req/202106291/images/players/stokema01.jpg
8,1,Bob Cousy,28,BOS,23.0,23.0,80,0.288,64,36.9,20.6,4.8,7.5,NO DATA,NO DATA,.378,NO DATA,.821,8.8,.178,1957,https://www.basketball-reference.com//players/c/cousybo01.html,https://www.basketball-reference.com/req/202106291/images/players/cousybo01.jpg
9,2,Bob Pettit,24,STL,21.0,21.0,80,0.263,71,35.1,24.7,14.6,1.9,NO DATA,NO DATA,.415,NO DATA,.773,11.6,.224,1957,https://www.basketball-reference.com//players/p/pettibo01.html,https://www.basketball-reference.com/req/202106291/images/players/pettibo01.jpg
10,3,Paul Arizin,28,PHW,9.0,9.0,80,0.113,71,39.0,25.6,7.9,2.1,NO DATA,NO DATA,.422,NO DATA,.829,12.3,.213,1957,https://www.basketball-reference.com//players/a/arizipa01.html,https://www.basketball-reference.com/req/202106291/images/players/arizipa01.jpg
11,4,Dolph Schayes,28,SYR,8.0,8.0,80,0.100,72,39.6,22.5,14.0,3.2,NO DATA,NO DATA,.379,NO DATA,.904,12.5,.211,1957,https://www.basketball-reference.com//players/s/schaydo01.html,https://www.basketball-reference.com/req/202106291/images/players/schaydo01.jpg
12,5,George Yardley,28,FTW,7.0,7.0,80,0.088,72,37.4,21.5,10.5,2.0,NO DATA,NO DATA,.410,NO DATA,.787,10.0,.179,1957,https://www.basketball-reference.com//players/y/yardlge01.html,https://www.basketball-reference.com/req/202106291/images/players/yardlge01.jpg
13,6,Maurice Stokes,23,ROC,5.0,5.0,80,0.063,72,38.3,15.6,17.4,4.6,NO DATA,NO DATA,.347,NO DATA,.665,5.5,.096,1957,https://www.basketball-reference.com//players/s/stokema01.html,https://www.basketball-reference.com/req/202106291/images/players/stokema01.jpg
14,7,Bill Russell,22,BOS,2.0,2.0,80,0.025,48,35.3,14.7,19.6,1.8,NO DATA,NO DATA,.427,NO DATA,.492,6.2,.176,1957,https://www.basketball-reference.com//players/r/russebi01.html,https://www.basketball-reference.com/req/202106291/images/players/russebi01.jpg
15,8T,Ray Felix,26,NYK,1.0,1.0,80,0.013,72,22.5,12.0,8.2,0.5,NO DATA,NO DATA,.416,NO DATA,.747,5.5,.162,1957,https://www.basketball-reference.com//players/f/felixra01.html,https://www.basketball-reference.com/req/202106291/images/players/felixra01.jpg
16,8T,Harry Gallatin,29,NYK,1.0,1.0,80,0.013,72,27.0,15.0,10.1,1.2,NO DATA,NO DATA,.406,NO DATA,.800,8.1,.199,1957,https://www.basketball-reference.com//players/g/gallaha01.html,https://www.basketball-reference.com/req/202106291/images/players/gallaha01.jpg
17,8T,Mel Hutchins,28,FTW,1.0,1.0,80,0.013,72,36.8,12.4,7.9,2.9,NO DATA,NO DATA,.387,NO DATA,.738,2.8,.050,1957,https://www.basketball-reference.com//players/h/hutchme01.html,https://www.basketball-reference.com/req/202106291/images/players/hutchme01.jpg
18,8T,Kenny Sears,23,NYK,1.0,1.0,80,0.013,72,34.9,14.8,8.5,1.4,NO DATA,NO DATA,.418,NO DATA,.790,8.0,.153,1957,https://www.basketball-reference.com//players/s/searske01.html,https://www.basketball-reference.com/req/202106291/images/players/searske01.jpg
19,8T,Jack Twyman,22,ROC,1.0,1.0,80,0.013,72,32.5,16.3,4.9,1.7,NO DATA,NO DATA,.439,NO DATA,.760,8.8,.180,1957,https://www.basketball-reference.com//players/t/twymaja01.html,https://www.basketball-reference.com/req/202106291/images/players/twymaja01.jpg
20,1,Bill Russell,23,BOS,33.0,228.0,400,0.570,69,38.3,16.6,22.7,2.9,NO DATA,NO DATA,.442,NO DATA,.519,11.3,.206,1958,https://www.basketball-reference.com//players/r/russebi01.html,https://www.basketball-reference.com/req/202106291/images/players/russebi01.jpg
21,2,Dolph Schayes,29,SYR,25.0,198.0,400,0.495,72,40.5,24.9,14.2,3.1,NO DATA,NO DATA,.398,NO DATA,.904,13.7,.226,1958,https://www.basketball-reference.com//players/s/schaydo01.html,https://www.basketball-reference.com/req/202106291/images/players/schaydo01.jpg
22,3,George Yardley,29,DET,12.0,120.0,400,0.300,72,39.5,27.8,10.7,1.3,NO DATA,NO DATA,.414,NO DATA,.811,12.3,.208,1958,https://www.basketball-reference.com//players/y/yardlge01.html,https://www.basketball-reference.com/req/202106291/images/players/yardlge01.jpg
23,4,Bob Pettit,25,STL,4.0,97.0,400,0.243,70,36.1,24.6,17.4,2.2,NO DATA,NO DATA,.410,NO DATA,.749,11.0,.209,1958,https://www.basketball-reference.com//players/p/pettibo01.html,https://www.basketball-reference.com/req/202106291/images/players/pettibo01.jpg
24,5,Maurice Stokes,24,CIN,2.0,28.0,400,0.070,63,39.0,16.9,18.1,6.4,NO DATA,NO DATA,.351,NO DATA,.715,4.5,.088,1958,https://www.basketball-reference.com//players/s/stokema01.html,https://www.basketball-reference.com/req/202106291/images/players/stokema01.jpg
25,6,Bob Cousy,29,BOS,2.0,18.0,400,0.045,65,34.2,18.0,5.0,7.1,NO DATA,NO DATA,.353,NO DATA,.850,5.4,.116,1958,https://www.basketball-reference.com//players/c/cousybo01.html,https://www.basketball-reference.com/req/202106291/images/players/cousybo01.jpg
26,7,Bill Sharman,31,BOS,2.0,11.0,400,0.028,63,35.1,22.3,4.7,2.7,NO DATA,NO DATA,.424,NO DATA,.893,8.7,.189,1958,https://www.basketball-reference.com//players/s/sharmbi01.html,https://www.basketball-reference.com/req/202106291/images/players/sharmbi01.jpg
27,8,Paul Arizin,29,PHW,0.0,8.0,400,0.020,68,35.0,20.7,7.4,2.0,NO DATA,NO DATA,.393,NO DATA,.809,7.7,.156,1958,https://www.basketball-reference.com//players/a/arizipa01.html,https://www.basketball-reference.com/req/202106291/images/players/arizipa01.jpg
28,9,Walter Dukes,27,DET,0.0,4.0,400,0.010,72,30.3,11.2,13.3,0.7,NO DATA,NO DATA,.349,NO DATA,.675,2.4,.052,1958,https://www.basketball-reference.com//players/d/dukeswa01.html,https://www.basketball-reference.com/req/202106291/images/players/dukeswa01.jpg
29,10,Vern Mikkelsen,29,MNL,0.0,3.0,400,0.008,72,33.2,17.3,11.2,2.3,NO DATA,NO DATA,.410,NO DATA,.786,6.5,.130,1958,https://www.basketball-reference.com//players/m/mikkeve01.html,https://www.basketball-reference.com/req/202106291/images/players/mikkeve01.jpg
30,11,Cliff Hagan,26,STL,0.0,2.0,400,0.005,70,31.3,19.9,10.1,2.5,NO DATA,NO DATA,.443,NO DATA,.768,10.0,.220,1958,https://www.basketball-reference.com//players/h/hagancl01.html,https://www.basketball-reference.com/req/202106291/images/players/hagancl01.jpg
31,12T,Neil Johnston,28,PHW,0.0,1.0,400,0.003,71,33.9,19.5,11.1,2.3,NO DATA,NO DATA,.429,NO DATA,.819,11.3,.224,1958,https://www.basketball-reference.com//players/j/johnsne01.html,https://www.basketball-reference.com/req/202106291/images/players/johnsne01.jpg
32,12T,Clyde Lovellette,28,CIN,0.0,1.0,400,0.003,71,36.5,23.4,12.1,1.9,NO DATA,NO DATA,.441,NO DATA,.743,10.1,.187,1958,https://www.basketball-reference.com//players/l/lovelcl01.html,https://www.basketball-reference.com/req/202106291/images/players/lovelcl01.jpg
33,12T,Kenny Sears,24,NYK,0.0,1.0,400,0.003,72,37.3,18.6,10.9,1.8,NO DATA,NO DATA,.439,NO DATA,.822,10.0,.179,1958,https://www.basketball-reference.com//players/s/searske01.html,https://www.basketball-reference.com/req/202106291/images/players/searske01.jpg
34,1,Bob Pettit,26,STL,59.0,317.0,410,0.773,72,39.9,29.2,16.4,3.1,NO DATA,NO DATA,.438,NO DATA,.759,14.8,.246,1959,https://www.basketball-reference.com//players/p/pettibo01.html,https://www.basketball-reference.com/req/202106291/images/players/pettibo01.jpg
35,2,Bill Russell,24,BOS,10.0,144.0,410,0.351,70,42.6,16.7,23.0,3.2,NO DATA,NO DATA,.457,NO DATA,.598,12.9,.208,1959,https://www.basketball-reference.com//players/r/russebi01.html,https://www.basketball-reference.com/req/202106291/images/players/russebi01.jpg
36,3,Elgin Baylor,24,MNL,2.0,88.0,410,0.215,70,40.8,24.9,15.0,4.1,NO DATA,NO DATA,.408,NO DATA,.777,9.8,.165,1959,https://www.basketball-reference.com//players/b/bayloel01.html,https://www.basketball-reference.com/req/202106291/images/players/bayloel01.jpg
37,4,Bob Cousy,30,BOS,4.0,71.0,410,0.173,65,37.0,20.0,5.5,8.6,NO DATA,NO DATA,.384,NO DATA,.855,8.7,.174,1959,https://www.basketball-reference.com//players/c/cousybo01.html,https://www.basketball-reference.com/req/202106291/images/players/cousybo01.jpg
38,5,Paul Arizin,30,PHW,1.0,39.0,410,0.095,70,40.0,26.4,9.1,1.7,NO DATA,NO DATA,.431,NO DATA,.813,13.0,.223,1959,https://www.basketball-reference.com//players/a/arizipa01.html,https://www.basketball-reference.com/req/202106291/images/players/arizipa01.jpg
39,6,Dolph Schayes,30,SYR,1.0,26.0,410,0.063,72,36.7,21.3,13.4,2.5,NO DATA,NO DATA,.387,NO DATA,.864,9.4,.171,1959,https://www.basketball-reference.com//players/s/schaydo01.html,https://www.basketball-reference.com/req/202106291/images/players/schaydo01.jpg
40,7,Larry Costello,27,SYR,3.0,15.0,410,0.037,70,39.3,15.8,5.2,5.4,NO DATA,NO DATA,.437,NO DATA,.802,8.5,.149,1959,https://www.basketball-reference.com//players/c/costela01.html,https://www.basketball-reference.com/req/202106291/images/players/costela01.jpg
41,8,Kenny Sears,25,NYK,1.0,12.0,410,0.029,71,35.2,21.0,9.3,1.9,NO DATA,NO DATA,.490,NO DATA,.861,13.3,.256,1959,https://www.basketball-reference.com//players/s/searske01.html,https://www.basketball-reference.com/req/202106291/images/players/searske01.jpg
42,9,Cliff Hagan,27,STL,1.0,11.0,410,0.027,72,37.5,23.7,10.9,3.4,NO DATA,NO DATA,.456,NO DATA,.774,11.7,.209,1959,https://www.basketball-reference.com//players/h/hagancl01.html,https://www.basketball-reference.com/req/202106291/images/players/hagancl01.jpg
43,10,Jack Twyman,24,CIN,0.0,7.0,410,0.017,72,37.7,25.8,9.1,2.9,NO DATA,NO DATA,.420,NO DATA,.783,7.3,.129,1959,https://www.basketball-reference.com//players/t/twymaja01.html,https://www.basketball-reference.com/req/202106291/images/players/twymaja01.jpg
44,11T,Tom Gola,26,PHW,0.0,3.0,410,0.007,64,36.5,14.1,11.1,4.2,NO DATA,NO DATA,.401,NO DATA,.787,7.4,.153,1959,https://www.basketball-reference.com//players/g/golato01.html,https://www.basketball-reference.com/req/202106291/images/players/golato01.jpg
45,11T,Richie Guerin,26,NYK,0.0,3.0,410,0.007,71,36.0,18.2,7.3,5.1,NO DATA,NO DATA,.424,NO DATA,.802,8.4,.158,1959,https://www.basketball-reference.com//players/g/gueriri01.html,https://www.basketball-reference.com/req/202106291/images/players/gueriri01.jpg
46,11T,Dick McGuire,33,DET,0.0,3.0,410,0.007,71,29.1,9.2,4.0,6.2,NO DATA,NO DATA,.427,NO DATA,.740,6.9,.160,1959,https://www.basketball-reference.com//players/m/mcguidi01.html,https://www.basketball-reference.com/req/202106291/images/players/mcguidi01.jpg
