,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
0,1,Jerry Lucas,23,CIN,73.5,73.5,83,0.886,79,41.4,17.7,17.4,2.6,NO DATA,NO DATA,.527,NO DATA,.779,12.7,.187,1964,https://www.basketball-reference.com//players/l/lucasje01.html,https://www.basketball-reference.com/req/202106291/images/players/lucasje01.jpg
1,2,Gus Johnson,25,BAL,7.5,7.5,83,0.090,78,36.5,17.3,13.6,2.2,NO DATA,NO DATA,.430,NO DATA,.658,3.5,.060,1964,https://www.basketball-reference.com//players/j/johnsgu01.html,https://www.basketball-reference.com/req/202106291/images/players/johnsgu01.jpg
2,3,Nate Thurmond,22,SFW,2.0,2.0,83,0.024,76,25.9,7.0,10.4,1.1,NO DATA,NO DATA,.395,NO DATA,.549,3.5,.085,1964,https://www.basketball-reference.com//players/t/thurmna01.html,https://www.basketball-reference.com/req/202106291/images/players/thurmna01.jpg
3,1,Willis Reed,22,NYK,47.0,47.0,79,0.595,80,38.0,19.5,14.7,1.7,NO DATA,NO DATA,.432,NO DATA,.742,5.5,.087,1965,https://www.basketball-reference.com//players/r/reedwi01.html,https://www.basketball-reference.com/req/202106291/images/players/reedwi01.jpg
4,2,Luke Jackson,23,PHI,27.0,27.0,79,0.342,76,34.1,14.8,12.9,1.2,NO DATA,NO DATA,.414,NO DATA,.713,4.8,.088,1965,https://www.basketball-reference.com//players/j/jackslu01.html,https://www.basketball-reference.com/req/202106291/images/players/jackslu01.jpg
5,3,Jim Barnes,23,NYK,2.0,2.0,79,0.025,75,34.5,15.5,9.7,1.2,NO DATA,NO DATA,.424,NO DATA,.662,3.4,.063,1965,https://www.basketball-reference.com//players/b/barneji01.html,https://www.basketball-reference.com/req/202106291/images/players/barneji01.jpg
6,4T,Ron Bonham,22,BOS,1.0,1.0,79,0.013,37,10.0,7.4,2.1,0.5,NO DATA,NO DATA,.414,NO DATA,.821,1.8,.230,1965,https://www.basketball-reference.com//players/b/bonharo01.html,https://www.basketball-reference.com/req/202106291/images/players/bonharo01.jpg
7,4T,Joe Caldwell,23,DET,1.0,1.0,79,0.013,66,23.4,10.7,6.7,1.8,NO DATA,NO DATA,.374,NO DATA,.614,0.3,.008,1965,https://www.basketball-reference.com//players/c/caldwjo01.html,https://www.basketball-reference.com/req/202106291/images/players/caldwjo01.jpg
8,4T,Howard Komives,23,NYK,1.0,1.0,79,0.013,80,29.7,12.2,2.4,3.3,NO DATA,NO DATA,.374,NO DATA,.835,0.7,.014,1965,https://www.basketball-reference.com//players/k/komivho01.html,https://www.basketball-reference.com/req/202106291/images/players/komivho01.jpg
9,1,Rick Barry,21,SFW,84.0,84.0,86,0.977,80,37.4,25.7,10.6,2.2,NO DATA,NO DATA,.439,NO DATA,.862,10.4,.167,1966,https://www.basketball-reference.com//players/b/barryri01.html,https://www.basketball-reference.com/req/202106291/images/players/barryri01.jpg
10,2,Billy Cunningham,22,PHI,2.0,2.0,86,0.023,80,26.7,14.3,7.5,2.6,NO DATA,NO DATA,.426,NO DATA,.634,5.0,.112,1966,https://www.basketball-reference.com//players/c/cunnibi01.html,https://www.basketball-reference.com/req/202106291/images/players/cunnibi01.jpg
11,1,Dave Bing,23,DET,74.0,74.0,90,0.822,80,34.5,20.0,4.5,4.1,NO DATA,NO DATA,.436,NO DATA,.738,5.3,.092,1967,https://www.basketball-reference.com//players/b/bingda01.html,https://www.basketball-reference.com/req/202106291/images/players/bingda01.jpg
12,2,Lou Hudson,22,STL,13.0,13.0,90,0.144,80,30.6,18.4,5.4,1.2,NO DATA,NO DATA,.467,NO DATA,.706,4.9,.097,1967,https://www.basketball-reference.com//players/h/hudsolo01.html,https://www.basketball-reference.com/req/202106291/images/players/hudsolo01.jpg
13,3,Archie Clark,25,LAL,3.0,3.0,90,0.033,76,23.2,10.5,2.9,2.7,NO DATA,NO DATA,.452,NO DATA,.708,2.7,.075,1967,https://www.basketball-reference.com//players/c/clarkar01.html,https://www.basketball-reference.com/req/202106291/images/players/clarkar01.jpg
14,1,Earl Monroe,23,BAL,78.0,78.0,79,0.987,82,36.7,24.3,5.7,4.3,NO DATA,NO DATA,.453,NO DATA,.781,9.3,.148,1968,https://www.basketball-reference.com//players/m/monroea01.html,https://www.basketball-reference.com/req/202106291/images/players/monroea01.jpg
15,2,Bill Bradley,24,NYK,1.0,1.0,79,0.013,45,19.4,8.0,2.5,3.0,NO DATA,NO DATA,.416,NO DATA,.731,1.1,.058,1968,https://www.basketball-reference.com//players/b/bradlbi01.html,https://www.basketball-reference.com/req/202106291/images/players/bradlbi01.jpg
16,1,Wes Unseld,22,BAL,53.0,53.0,78,0.679,82,36.2,13.8,18.2,2.6,NO DATA,NO DATA,.476,NO DATA,.605,10.8,.175,1969,https://www.basketball-reference.com//players/u/unselwe01.html,https://www.basketball-reference.com/req/202106291/images/players/unselwe01.jpg
17,2,Elvin Hayes,23,SDR,25.0,25.0,78,0.321,82,45.1,28.4,17.1,1.4,NO DATA,NO DATA,.447,NO DATA,.626,9.6,.124,1969,https://www.basketball-reference.com//players/h/hayesel01.html,https://www.basketball-reference.com/req/202106291/images/players/hayesel01.jpg
18,1,Kareem Abdul-Jabbar,22,MIL,78.0,78.0,78,1.000,82,43.1,28.8,14.5,4.1,NO DATA,NO DATA,.518,NO DATA,.653,13.8,.187,1970,https://www.basketball-reference.com//players/a/abdulka01.html,https://www.basketball-reference.com/req/202106291/images/players/abdulka01.jpg
19,1T,Dave Cowens,22,BOS,36.0,36.0,98,0.367,81,38.0,17.0,15.0,2.8,NO DATA,NO DATA,.422,NO DATA,.732,6.4,.100,1971,https://www.basketball-reference.com//players/c/cowenda01.html,https://www.basketball-reference.com/req/202106291/images/players/cowenda01.jpg
20,1T,Geoff Petrie,22,POR,36.0,36.0,98,0.367,82,37.0,24.8,3.4,4.8,NO DATA,NO DATA,.443,NO DATA,.772,6.2,.099,1971,https://www.basketball-reference.com//players/p/petrige01.html,https://www.basketball-reference.com/req/202106291/images/players/petrige01.jpg
