,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
0,1,Kevin McHale,26,BOS,59.0,59.0,76,0.776,82,31.4,18.4,7.4,1.3,0.3,1.5,.556,.333,.765,10.5,.196,1984,https://www.basketball-reference.com//players/m/mchalke01.html,https://www.basketball-reference.com/req/202106291/images/players/mchalke01.jpg
1,2,John Drew,29,UTA,14.0,14.0,76,0.184,81,22.2,17.7,4.2,1.7,1.1,0.0,.479,.273,.778,4.5,.121,1984,https://www.basketball-reference.com//players/d/drewjo01.html,https://www.basketball-reference.com/req/202106291/images/players/drewjo01.jpg
2,3T,Kenny Carr,28,POR,1.0,1.0,76,0.013,82,29.9,15.6,7.8,1.9,0.8,0.4,.561,.000,.673,6.7,.131,1984,https://www.basketball-reference.com//players/c/carrke01.html,https://www.basketball-reference.com/req/202106291/images/players/carrke01.jpg
3,3T,Phil Hubbard,27,CLE,1.0,1.0,76,0.013,80,22.5,10.8,4.8,1.1,0.9,0.1,.511,.000,.739,4.6,.124,1984,https://www.basketball-reference.com//players/h/hubbaph01.html,https://www.basketball-reference.com/req/202106291/images/players/hubbaph01.jpg
4,3T,Bobby Jones,32,PHI,1.0,1.0,76,0.013,75,23.5,8.3,4.3,2.5,1.4,1.4,.523,.000,.784,6.0,.163,1984,https://www.basketball-reference.com//players/j/jonesbo01.html,https://www.basketball-reference.com/req/202106291/images/players/jonesbo01.jpg
5,1,Kevin McHale,27,BOS,57.0,57.0,78,0.731,79,33.6,19.8,9.0,1.8,0.4,1.5,.570,.000,.760,11.0,.199,1985,https://www.basketball-reference.com//players/m/mchalke01.html,https://www.basketball-reference.com/req/202106291/images/players/mchalke01.jpg
6,2T,Clyde Drexler,22,POR,5.0,5.0,78,0.064,80,31.9,17.2,6.0,5.5,2.2,0.9,.494,.216,.759,7.5,.141,1985,https://www.basketball-reference.com//players/d/drexlcl01.html,https://www.basketball-reference.com/req/202106291/images/players/drexlcl01.jpg
7,2T,Dan Issel,36,DEN,5.0,5.0,78,0.064,77,21.9,12.8,4.3,1.8,0.8,0.4,.459,.143,.806,4.3,.124,1985,https://www.basketball-reference.com//players/i/isselda01.html,https://www.basketball-reference.com/req/202106291/images/players/isselda01.jpg
8,4,Michael Cooper,28,LAL,4.0,4.0,78,0.051,82,26.7,8.6,3.1,5.2,1.1,0.6,.465,.285,.865,4.6,.102,1985,https://www.basketball-reference.com//players/c/coopemi01.html,https://www.basketball-reference.com/req/202106291/images/players/coopemi01.jpg
9,5,Jay Vincent,25,DAL,2.0,2.0,78,0.026,79,32.2,18.2,8.9,2.1,0.6,0.3,.479,.000,.836,6.5,.123,1985,https://www.basketball-reference.com//players/v/vinceja01.html,https://www.basketball-reference.com/req/202106291/images/players/vinceja01.jpg
10,6T,Quintin Dailey,24,CHI,1.0,1.0,78,0.013,79,26.6,16.0,2.6,2.4,0.9,0.1,.473,.233,.817,2.6,.059,1985,https://www.basketball-reference.com//players/d/dailequ01.html,https://www.basketball-reference.com/req/202106291/images/players/dailequ01.jpg
11,6T,Bobby Jones,33,PHI,1.0,1.0,78,0.013,80,20.4,7.5,3.7,1.9,1.1,0.6,.538,.000,.861,4.8,.142,1985,https://www.basketball-reference.com//players/j/jonesbo01.html,https://www.basketball-reference.com/req/202106291/images/players/jonesbo01.jpg
12,6T,Bob McAdoo,33,LAL,1.0,1.0,78,0.013,66,19.0,10.5,4.5,1.0,0.3,0.8,.520,.000,.753,2.9,.110,1985,https://www.basketball-reference.com//players/m/mcadobo01.html,https://www.basketball-reference.com/req/202106291/images/players/mcadobo01.jpg
13,6T,Terry Tyler,28,DET,1.0,1.0,78,0.013,82,24.4,11.6,5.2,0.8,0.6,1.1,.494,.000,.716,4.5,.108,1985,https://www.basketball-reference.com//players/t/tylerte01.html,https://www.basketball-reference.com/req/202106291/images/players/tylerte01.jpg
14,6T,Mike Woodson,26,KCK,1.0,1.0,78,0.013,78,25.6,17.0,2.5,1.8,1.5,0.4,.496,.238,.800,4.2,.101,1985,https://www.basketball-reference.com//players/w/woodsmi01.html,https://www.basketball-reference.com/req/202106291/images/players/woodsmi01.jpg
15,1,Bill Walton,33,BOS,32.0,32.0,78,0.410,80,19.3,7.6,6.8,2.1,0.5,1.3,.562,NO DATA,.713,5.0,.157,1986,https://www.basketball-reference.com//players/w/waltobi01.html,https://www.basketball-reference.com/req/202106291/images/players/waltobi01.jpg
16,2,Ricky Pierce,26,MIL,11.0,11.0,78,0.141,81,26.5,13.9,2.9,2.2,1.0,0.1,.538,.130,.858,8.3,.186,1986,https://www.basketball-reference.com//players/p/piercri01.html,https://www.basketball-reference.com/req/202106291/images/players/piercri01.jpg
17,3,Eddie Johnson,26,SAC,10.0,10.0,78,0.128,82,30.7,18.7,5.1,2.6,0.7,0.2,.475,.200,.816,4.0,.077,1986,https://www.basketball-reference.com//players/j/johnsed03.html,https://www.basketball-reference.com/req/202106291/images/players/johnsed03.jpg
18,4,Michael Cooper,29,LAL,9.0,9.0,78,0.115,82,27.7,9.2,3.0,5.7,1.1,0.5,.452,.387,.865,5.8,.123,1986,https://www.basketball-reference.com//players/c/coopemi01.html,https://www.basketball-reference.com/req/202106291/images/players/coopemi01.jpg
19,5,Thurl Bailey,24,UTA,5.0,5.0,78,0.064,82,28.8,14.6,6.0,1.9,0.5,1.4,.448,.000,.830,4.0,.081,1986,https://www.basketball-reference.com//players/b/baileth01.html,https://www.basketball-reference.com/req/202106291/images/players/baileth01.jpg
20,1,Ricky Pierce,27,MIL,41.0,41.0,78,0.526,79,31.7,19.5,3.4,1.8,0.8,0.3,.534,.107,.880,9.4,.180,1987,https://www.basketball-reference.com//players/p/piercri01.html,https://www.basketball-reference.com/req/202106291/images/players/piercri01.jpg
21,2,Vinnie Johnson,30,DET,19.0,19.0,78,0.244,78,27.8,15.7,3.3,3.8,1.2,0.2,.462,.286,.786,4.8,.107,1987,https://www.basketball-reference.com//players/j/johnsvi01.html,https://www.basketball-reference.com/req/202106291/images/players/johnsvi01.jpg
22,3,Michael Cooper,30,LAL,7.0,7.0,78,0.090,82,27.5,10.5,3.1,4.5,1.0,0.5,.438,.385,.851,6.1,.131,1987,https://www.basketball-reference.com//players/c/coopemi01.html,https://www.basketball-reference.com/req/202106291/images/players/coopemi01.jpg
23,1,Roy Tarpley,23,DAL,67.0,67.0,80,0.838,81,28.5,13.5,11.8,1.1,1.3,1.1,.500,.000,.740,7.8,.163,1988,https://www.basketball-reference.com//players/t/tarplro01.html,https://www.basketball-reference.com/req/202106291/images/players/tarplro01.jpg
24,2,Thurl Bailey,26,UTA,13.0,13.0,80,0.163,82,34.2,19.6,6.5,1.9,0.6,1.5,.492,.333,.826,6.8,.116,1988,https://www.basketball-reference.com//players/b/baileth01.html,https://www.basketball-reference.com/req/202106291/images/players/baileth01.jpg
25,1,Eddie Johnson,29,PHO,33.0,33.0,85,0.388,70,29.2,21.5,4.4,2.3,0.7,0.1,.497,.413,.868,6.5,.152,1989,https://www.basketball-reference.com//players/j/johnsed03.html,https://www.basketball-reference.com/req/202106291/images/players/johnsed03.jpg
26,2,Thurl Bailey,27,UTA,26.0,26.0,85,0.306,82,33.9,19.5,5.5,1.7,0.6,1.1,.483,.400,.825,6.5,.113,1989,https://www.basketball-reference.com//players/b/baileth01.html,https://www.basketball-reference.com/req/202106291/images/players/baileth01.jpg
27,3,Dennis Rodman,27,DET,17.0,17.0,85,0.200,82,26.9,9.0,9.4,1.2,0.7,0.9,.595,.231,.626,8.1,.175,1989,https://www.basketball-reference.com//players/r/rodmade01.html,https://www.basketball-reference.com/req/202106291/images/players/rodmade01.jpg
28,4,John Williams,22,WSB,4.0,4.0,85,0.047,82,29.4,13.7,7.0,4.3,1.7,0.9,.466,.268,.776,6.9,.136,1989,https://www.basketball-reference.com//players/w/willijo02.html,https://www.basketball-reference.com/req/202106291/images/players/willijo02.jpg
29,5,Xavier McDaniel,25,SEA,2.0,2.0,85,0.024,82,29.1,20.5,5.3,1.6,1.0,0.5,.489,.306,.732,5.3,.107,1989,https://www.basketball-reference.com//players/m/mcdanxa01.html,https://www.basketball-reference.com/req/202106291/images/players/mcdanxa01.jpg
30,6T,Ron Anderson,30,PHI,1.0,1.0,85,0.012,82,31.9,16.2,5.0,1.7,0.9,0.3,.491,.182,.856,4.4,.081,1989,https://www.basketball-reference.com//players/a/anderro01.html,https://www.basketball-reference.com/req/202106291/images/players/anderro01.jpg
31,6T,Ricky Pierce,29,MIL,1.0,1.0,85,0.012,75,27.7,17.6,2.6,2.1,1.0,0.3,.518,.222,.859,6.7,.155,1989,https://www.basketball-reference.com//players/p/piercri01.html,https://www.basketball-reference.com/req/202106291/images/players/piercri01.jpg
32,6T,Hot Rod Williams,26,CLE,1.0,1.0,85,0.012,82,25.9,11.6,5.8,1.3,0.9,1.6,.509,.250,.748,7.7,.173,1989,https://www.basketball-reference.com//players/w/williho01.html,https://www.basketball-reference.com/req/202106291/images/players/williho01.jpg
33,1,Ricky Pierce,30,MIL,77.0,77.0,92,0.837,59,29.0,23.0,2.8,2.3,0.8,0.1,.510,.346,.839,5.8,.163,1990,https://www.basketball-reference.com//players/p/piercri01.html,https://www.basketball-reference.com/req/202106291/images/players/piercri01.jpg
34,2,Detlef Schrempf,27,IND,8.0,8.0,92,0.087,78,33.0,16.2,7.9,3.2,0.8,0.2,.516,.354,.820,8.1,.151,1990,https://www.basketball-reference.com//players/s/schrede01.html,https://www.basketball-reference.com/req/202106291/images/players/schrede01.jpg
35,3T,Eddie Johnson,30,PHO,2.0,2.0,92,0.022,64,28.3,16.9,3.8,1.7,0.5,0.2,.453,.380,.917,3.9,.104,1990,https://www.basketball-reference.com//players/j/johnsed03.html,https://www.basketball-reference.com/req/202106291/images/players/johnsed03.jpg
36,3T,John Williams,23,WSB,2.0,2.0,92,0.022,18,35.1,18.2,7.6,4.7,1.2,0.5,.474,.111,.774,1.3,.101,1990,https://www.basketball-reference.com//players/w/willijo02.html,https://www.basketball-reference.com/req/202106291/images/players/willijo02.jpg
37,3T,Orlando Woolridge,30,LAL,2.0,2.0,92,0.022,62,22.9,12.7,3.0,1.5,0.6,0.7,.556,.000,.733,4.8,.161,1990,https://www.basketball-reference.com//players/w/woolror01.html,https://www.basketball-reference.com/req/202106291/images/players/woolror01.jpg
38,6,Antoine Carr,28,TOT,1.0,1.0,92,0.011,77,22.4,12.3,4.2,1.5,0.4,0.9,.494,.000,.795,3.5,.097,1990,https://www.basketball-reference.com//players/c/carran01.html,https://www.basketball-reference.com/req/202106291/images/players/carran01.jpg
39,1,Detlef Schrempf,28,IND,38.0,38.0,96,0.396,82,32.1,16.1,8.0,3.7,0.7,0.3,.520,.375,.818,9.0,.165,1991,https://www.basketball-reference.com//players/s/schrede01.html,https://www.basketball-reference.com/req/202106291/images/players/schrede01.jpg
40,2,Dan Majerle,25,PHO,37.0,37.0,96,0.385,77,29.6,13.6,5.4,2.8,1.4,0.5,.484,.349,.762,7.2,.152,1991,https://www.basketball-reference.com//players/m/majerda01.html,https://www.basketball-reference.com/req/202106291/images/players/majerda01.jpg
41,3,Kevin McHale,33,BOS,8.0,8.0,96,0.083,68,30.4,18.4,7.1,1.9,0.4,2.1,.553,.405,.829,7.9,.182,1991,https://www.basketball-reference.com//players/m/mchalke01.html,https://www.basketball-reference.com/req/202106291/images/players/mchalke01.jpg
